dataset,method,parameters,change_points,time_ms
bee_waggle_6,MicroWatch(idx=1),"{""new_dist_buffer_size"":50.0,""batch_size"":5.0,""max_dist_size"":34.0,""threshold_ratio"":2.141205214}",,0.026
bee_waggle_6,MicroWatch(idx=2),"{""batch_size"":6.0,""new_dist_buffer_size"":40.0,""threshold_ratio"":3.719955787,""max_dist_size"":99.0}",,0.038
bee_waggle_6,MicroWatch(idx=3),"{""new_dist_buffer_size"":26.0,""batch_size"":3.0,""max_dist_size"":54.0,""threshold_ratio"":2.843846528}",,0.042
bee_waggle_6,MicroWatch(idx=4),"{""threshold_ratio"":0.81995813,""new_dist_buffer_size"":38.0,""batch_size"":5.0,""max_dist_size"":30.0}",40;85;125;165;255;340;380;420;490;530;570,0.072
bee_waggle_6,MicroWatch(idx=5),"{""batch_size"":5.0,""threshold_ratio"":0.875019289,""new_dist_buffer_size"":24.0,""max_dist_size"":85.0}",25;270;425;575,0.164
bee_waggle_6,MicroWatch(idx=6),"{""batch_size"":4.0,""max_dist_size"":17.0,""threshold_ratio"":1.666112771,""new_dist_buffer_size"":33.0}",40;92;188;256;348,0.029
bee_waggle_6,PELT,"penalty=100, jump=1, min_size=1",609,34.183
gdp_croatia,MicroWatch(idx=0),"{""new_dist_buffer_size"":15.0,""threshold_ratio"":1.567934133,""max_dist_size"":16.0,""batch_size"":3.0}",,0.005
gdp_croatia,MicroWatch(idx=1),"{""threshold_ratio"":0.453796633,""max_dist_size"":34.0,""batch_size"":5.0,""new_dist_buffer_size"":12.0}",15,0.003
gdp_croatia,MicroWatch(idx=2),"{""batch_size"":5.0,""threshold_ratio"":0.106121015,""max_dist_size"":14.0,""new_dist_buffer_size"":12.0}",15,0.002
gdp_croatia,MicroWatch(idx=3),"{""max_dist_size"":60.0,""threshold_ratio"":0.514370928,""new_dist_buffer_size"":14.0,""batch_size"":3.0}",15,0.002
gdp_croatia,MicroWatch(idx=4),"{""batch_size"":5.0,""max_dist_size"":90.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":0.14635912}",15,0.002
gdp_croatia,MicroWatch(idx=5),"{""batch_size"":5.0,""max_dist_size"":77.0,""threshold_ratio"":0.228700741,""new_dist_buffer_size"":12.0}",15,0.002
gdp_croatia,MicroWatch(idx=6),"{""max_dist_size"":89.0,""threshold_ratio"":0.12625164,""new_dist_buffer_size"":15.0,""batch_size"":3.0}",15,0.002
gdp_croatia,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.023
gdp_croatia,CUSUM,"twarmup=12, plimit=0.7806290248284016",,0.001
gdp_croatia,PELT,"penalty=0.0000000001, jump=7, min_size=8",8;16;24,0.019
uk_coal_employ,MicroWatch(idx=0),"{""batch_size"":5.0,""max_dist_size"":30.0,""threshold_ratio"":0.164684234,""new_dist_buffer_size"":21.0}",,0.006
uk_coal_employ,MicroWatch(idx=1),"{""max_dist_size"":36.0,""new_dist_buffer_size"":4.0,""threshold_ratio"":1.393403099,""batch_size"":5.0}",5,0.008
uk_coal_employ,MicroWatch(idx=2),"{""threshold_ratio"":0.769394577,""max_dist_size"":77.0,""new_dist_buffer_size"":9.0,""batch_size"":5.0}",,0.012
uk_coal_employ,MicroWatch(idx=3),"{""max_dist_size"":54.0,""new_dist_buffer_size"":12.0,""batch_size"":3.0,""threshold_ratio"":1.913102637}",,0.013
uk_coal_employ,MicroWatch(idx=4),"{""threshold_ratio"":2.582841263,""batch_size"":4.0,""max_dist_size"":52.0,""new_dist_buffer_size"":16.0}",,0.014
uk_coal_employ,MicroWatch(idx=5),"{""threshold_ratio"":0.872643984,""batch_size"":6.0,""new_dist_buffer_size"":14.0,""max_dist_size"":40.0}",,0.008
uk_coal_employ,MicroWatch(idx=6),"{""new_dist_buffer_size"":47.0,""threshold_ratio"":1.796328147,""max_dist_size"":28.0,""batch_size"":4.0}",,0.004
uk_coal_employ,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.348
uk_coal_employ,CUSUM,"twarmup=66, plimit=0.3557651427886687",,0.003
uk_coal_employ,PELT,"penalty=0.03, jump=5, min_size=6",12;18;24;30;36;42;48;54;60;66;72;78;84;90;96;105,0.348
quality_control_5,MicroWatch(idx=0),"{""threshold_ratio"":3.070915464,""max_dist_size"":94.0,""new_dist_buffer_size"":19.0,""batch_size"":3.0}",,0.075
quality_control_5,MicroWatch(idx=1),"{""threshold_ratio"":3.476919108,""max_dist_size"":51.0,""new_dist_buffer_size"":3.0,""batch_size"":6.0}",,0.028
quality_control_5,MicroWatch(idx=2),"{""batch_size"":5.0,""threshold_ratio"":3.318086926,""max_dist_size"":99.0,""new_dist_buffer_size"":39.0}",,0.040
quality_control_5,MicroWatch(idx=3),"{""new_dist_buffer_size"":17.0,""max_dist_size"":35.0,""batch_size"":5.0,""threshold_ratio"":3.28483171}",,0.024
quality_control_5,MicroWatch(idx=4),"{""batch_size"":4.0,""new_dist_buffer_size"":41.0,""max_dist_size"":31.0,""threshold_ratio"":3.324567931}",,0.030
quality_control_5,MicroWatch(idx=5),"{""threshold_ratio"":1.638863905,""max_dist_size"":35.0,""batch_size"":4.0,""new_dist_buffer_size"":27.0}",32,0.031
quality_control_5,MicroWatch(idx=6),"{""new_dist_buffer_size"":41.0,""threshold_ratio"":3.234011728,""batch_size"":5.0,""max_dist_size"":24.0}",,0.020
quality_control_5,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,4.428
quality_control_5,CUSUM,"twarmup=64, plimit=0.4315550779804488",77,0.015
quality_control_5,PELT,"penalty=2, jump=1, min_size=1",325,10.464
homeruns,MicroWatch(idx=0),"{""max_dist_size"":91.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":1.086319539,""batch_size"":3.0}",,0.036
homeruns,MicroWatch(idx=1),"{""batch_size"":3.0,""threshold_ratio"":2.033442239,""max_dist_size"":55.0,""new_dist_buffer_size"":18.0}",18;60,0.023
homeruns,MicroWatch(idx=2),"{""batch_size"":6.0,""threshold_ratio"":3.058227426,""max_dist_size"":25.0,""new_dist_buffer_size"":15.0}",18;60,0.009
homeruns,MicroWatch(idx=3),"{""max_dist_size"":34.0,""threshold_ratio"":3.117818813,""batch_size"":6.0,""new_dist_buffer_size"":5.0}",18;78,0.010
homeruns,MicroWatch(idx=4),"{""threshold_ratio"":3.895291224,""max_dist_size"":34.0,""batch_size"":3.0,""new_dist_buffer_size"":4.0}",18;60;66,0.027
homeruns,MicroWatch(idx=5),"{""new_dist_buffer_size"":17.0,""max_dist_size"":29.0,""batch_size"":3.0,""threshold_ratio"":3.129749874}",18;60,0.014
homeruns,MicroWatch(idx=6),"{""batch_size"":6.0,""new_dist_buffer_size"":16.0,""threshold_ratio"":1.395013398,""max_dist_size"":13.0}",18;36;54;78;96;114,0.009
homeruns,BOCPD,"alpha=0.1, beta=0.5, kappa=0.1, mu=200",13;14;55,0.495
homeruns,CUSUM,"twarmup=65, plimit=0.7397611932092609",36;77,0.002
homeruns,PELT,"penalty=20, jump=1, min_size=1",60;118,1.024
well_log,MicroWatch(idx=0),"{""max_dist_size"":14.0,""new_dist_buffer_size"":46.0,""batch_size"":4.0,""threshold_ratio"":0.999498921}",,0.026
well_log,MicroWatch(idx=1),"{""new_dist_buffer_size"":3.0,""threshold_ratio"":1.664018272,""batch_size"":3.0,""max_dist_size"":58.0}",3;174;180;255;282;288;312;342;402;414;423;432;462;657,0.100
well_log,MicroWatch(idx=2),"{""new_dist_buffer_size"":25.0,""max_dist_size"":21.0,""threshold_ratio"":0.268245963,""batch_size"":3.0}",147;174;201;237;267;294;321;348;375;402;429;462;522;552;582;609;636;666,0.037
well_log,MicroWatch(idx=3),"{""new_dist_buffer_size"":5.0,""max_dist_size"":28.0,""threshold_ratio"":1.953409166,""batch_size"":6.0}",402;462,0.028
well_log,MicroWatch(idx=4),"{""threshold_ratio"":0.423092414,""batch_size"":3.0,""max_dist_size"":93.0,""new_dist_buffer_size"":15.0}",180;195;237;282;309;342;384;399;414;429;462;657,0.148
well_log,MicroWatch(idx=5),"{""threshold_ratio"":0.3797616,""new_dist_buffer_size"":44.0,""batch_size"":3.0,""max_dist_size"":12.0}",180;255;312;402,0.034
well_log,MicroWatch(idx=6),"{""threshold_ratio"":1.015525056,""max_dist_size"":54.0,""batch_size"":5.0,""new_dist_buffer_size"":3.0}",180;195;460;655,0.038
well_log,BOCPD,"alpha=0.5, beta=0.001, kappa=0.1, mu=0",174,15.780
well_log,CUSUM,"twarmup=172, plimit=0.7543420749297682",193;452,0.031
well_log,PELT,"penalty=4, jump=1, min_size=9",171;180;252;279;315;342;396;423;432;459;675,25.703
unemployment_nl,MicroWatch(idx=0),"{""threshold_ratio"":0.99366811,""max_dist_size"":22.0,""batch_size"":3.0,""new_dist_buffer_size"":24.0}",,0.011
unemployment_nl,MicroWatch(idx=1),"{""max_dist_size"":87.0,""threshold_ratio"":2.982100887,""new_dist_buffer_size"":7.0,""batch_size"":3.0}",132;141;183,0.043
unemployment_nl,MicroWatch(idx=2),"{""threshold_ratio"":1.9585856,""new_dist_buffer_size"":27.0,""batch_size"":5.0,""max_dist_size"":13.0}",50;130,0.010
unemployment_nl,MicroWatch(idx=3),"{""batch_size"":3.0,""max_dist_size"":27.0,""threshold_ratio"":2.140085825,""new_dist_buffer_size"":9.0}",132;141,0.014
unemployment_nl,MicroWatch(idx=4),"{""batch_size"":3.0,""threshold_ratio"":3.914403415,""max_dist_size"":39.0,""new_dist_buffer_size"":9.0}",132;141;183;198,0.033
unemployment_nl,MicroWatch(idx=5),"{""threshold_ratio"":0.101505794,""batch_size"":6.0,""max_dist_size"":81.0,""new_dist_buffer_size"":50.0}",54;120;180,0.018
unemployment_nl,MicroWatch(idx=6),"{""max_dist_size"":72.0,""threshold_ratio"":1.296811807,""batch_size"":5.0,""new_dist_buffer_size"":10.0}",10;20;40;70;85;100;115;130;140;180,0.023
unemployment_nl,BOCPD,"alpha=0.01, beta=0.5, kappa=2, mu=5",116;126;137;170;176;177,1.667
unemployment_nl,CUSUM,"twarmup=165, plimit=0.5989745179462147",40;77;128,0.004
unemployment_nl,PELT,"penalty=10, jump=8, min_size=1",143;175;214,3.745
debt_ireland,MicroWatch(idx=0),"{""threshold_ratio"":2.308089181,""max_dist_size"":43.0,""new_dist_buffer_size"":8.0,""batch_size"":4.0}",,0.006
debt_ireland,MicroWatch(idx=1),"{""batch_size"":4.0,""threshold_ratio"":1.003072838,""max_dist_size"":73.0,""new_dist_buffer_size"":6.0}",8;16,0.003
debt_ireland,MicroWatch(idx=2),"{""threshold_ratio"":0.343588055,""new_dist_buffer_size"":7.0,""max_dist_size"":66.0,""batch_size"":4.0}",8;16,0.002
debt_ireland,MicroWatch(idx=3),"{""max_dist_size"":98.0,""new_dist_buffer_size"":6.0,""batch_size"":4.0,""threshold_ratio"":0.349538173}",8;16,0.002
debt_ireland,MicroWatch(idx=4),"{""max_dist_size"":43.0,""threshold_ratio"":0.379662771,""new_dist_buffer_size"":7.0,""batch_size"":4.0}",8;16,0.003
debt_ireland,MicroWatch(idx=5),"{""batch_size"":4.0,""max_dist_size"":24.0,""threshold_ratio"":0.606375202,""new_dist_buffer_size"":5.0}",8,0.004
debt_ireland,MicroWatch(idx=6),"{""threshold_ratio"":0.200590793,""batch_size"":4.0,""max_dist_size"":78.0,""new_dist_buffer_size"":6.0}",8;16,0.002
debt_ireland,BOCPD,"alpha=0.2, beta=1, kappa=0.5, mu=100",5;10,0.019
debt_ireland,CUSUM,"twarmup=10, plimit=0.09163313697045995",,0.001
