dataset,method,parameters,change_points,time_ms
quality_control_4,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":64.0,""threshold_ratio"":3.948630022,""new_dist_buffer_size"":9.0}",,0.046
quality_control_4,MicroWatch(idx=6),"{""threshold_ratio"":2.243177446,""max_dist_size"":21.0,""new_dist_buffer_size"":18.0,""batch_size"":4.0}",180;200;288;344;472,0.023
quality_control_4,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,10.210
quality_control_4,CUSUM,"twarmup=298, plimit=0.5958088530403688",66;161;207;293;354;476,0.011
quality_control_4,PELT,"penalty=100, jump=1, min_size=1",500,19.285
children_per_woman,MicroWatch(idx=0),"{""threshold_ratio"":0.974587839,""max_dist_size"":41.0,""new_dist_buffer_size"":32.0,""batch_size"":3.0}",,0.018
children_per_woman,MicroWatch(idx=1),"{""max_dist_size"":97.0,""new_dist_buffer_size"":10.0,""threshold_ratio"":3.123224082,""batch_size"":4.0}",116;132;144;176,0.054
children_per_woman,MicroWatch(idx=2),"{""new_dist_buffer_size"":17.0,""max_dist_size"":96.0,""batch_size"":6.0,""threshold_ratio"":3.981074313}",114,0.031
children_per_woman,MicroWatch(idx=3),"{""max_dist_size"":92.0,""batch_size"":5.0,""new_dist_buffer_size"":6.0,""threshold_ratio"":2.227882663}",110;175;190,0.049
children_per_woman,MicroWatch(idx=4),"{""max_dist_size"":100.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":3.778902626,""batch_size"":3.0}",111;174,0.127
children_per_woman,MicroWatch(idx=5),"{""batch_size"":5.0,""threshold_ratio"":1.298459232,""max_dist_size"":91.0,""new_dist_buffer_size"":25.0}",,0.030
children_per_woman,MicroWatch(idx=6),"{""threshold_ratio"":2.396303304,""max_dist_size"":93.0,""batch_size"":5.0,""new_dist_buffer_size"":31.0}",110;175,0.038
children_per_woman,BOCPD,"alpha=0.1, beta=0.001, kappa=5, mu=5",110;147;167;168,4.365
children_per_woman,CUSUM,"twarmup=150, plimit=0.2550581439882834",35;72;108;146;181;223;262;300,0.004
children_per_woman,PELT,"penalty=30, jump=8, min_size=1",178;301,6.752
jfk_passengers,MicroWatch(idx=0),"{""threshold_ratio"":0.442342413,""max_dist_size"":25.0,""batch_size"":3.0,""new_dist_buffer_size"":3.0}",,0.025
jfk_passengers,MicroWatch(idx=1),"{""new_dist_buffer_size"":35.0,""batch_size"":6.0,""threshold_ratio"":3.04901229,""max_dist_size"":85.0}",330,0.038
jfk_passengers,MicroWatch(idx=2),"{""max_dist_size"":15.0,""threshold_ratio"":2.736206023,""batch_size"":4.0,""new_dist_buffer_size"":40.0}",364,0.017
jfk_passengers,MicroWatch(idx=3),"{""batch_size"":4.0,""threshold_ratio"":2.192570456,""max_dist_size"":28.0,""new_dist_buffer_size"":45.0}",340,0.018
jfk_passengers,MicroWatch(idx=4),"{""new_dist_buffer_size"":40.0,""threshold_ratio"":3.51548693,""max_dist_size"":51.0,""batch_size"":4.0}",328,0.034
jfk_passengers,MicroWatch(idx=5),"{""batch_size"":4.0,""threshold_ratio"":2.194242833,""max_dist_size"":34.0,""new_dist_buffer_size"":46.0}",328;460,0.023
jfk_passengers,MicroWatch(idx=6),"{""max_dist_size"":51.0,""threshold_ratio"":1.058336283,""new_dist_buffer_size"":46.0,""batch_size"":4.0}",76;124;328;376;424,0.024
jfk_passengers,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,8.507
jfk_passengers,CUSUM,"twarmup=297, plimit=0.7280877609132768",54;138;331;369;439,0.013
jfk_passengers,PELT,"penalty=20, jump=9, min_size=1",329;468,15.929
gdp_japan,MicroWatch(idx=0),"{""batch_size"":4.0,""new_dist_buffer_size"":31.0,""max_dist_size"":16.0,""threshold_ratio"":3.698176381}",,0.036
gdp_japan,MicroWatch(idx=1),"{""batch_size"":4.0,""new_dist_buffer_size"":31.0,""threshold_ratio"":0.639995569,""max_dist_size"":39.0}",32,0.008
gdp_japan,MicroWatch(idx=2),"{""threshold_ratio"":0.435226802,""batch_size"":4.0,""max_dist_size"":10.0,""new_dist_buffer_size"":27.0}",28,0.007
gdp_japan,MicroWatch(idx=3),"{""batch_size"":4.0,""threshold_ratio"":0.327203503,""max_dist_size"":62.0,""new_dist_buffer_size"":31.0}",32,0.006
gdp_japan,MicroWatch(idx=4),"{""batch_size"":4.0,""threshold_ratio"":0.774503652,""max_dist_size"":71.0,""new_dist_buffer_size"":31.0}",32,0.008
gdp_japan,MicroWatch(idx=5),"{""batch_size"":4.0,""max_dist_size"":23.0,""new_dist_buffer_size"":28.0,""threshold_ratio"":1.60131655}",28,0.008
gdp_japan,MicroWatch(idx=6),"{""max_dist_size"":35.0,""new_dist_buffer_size"":32.0,""batch_size"":4.0,""threshold_ratio"":0.258077262}",32,0.006
gdp_japan,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.246
gdp_japan,CUSUM,"twarmup=31, plimit=0.3619946239177961",36,0.002
gdp_japan,PELT,"penalty=20, jump=1, min_size=1",58,0.525
iceland_tourism,MicroWatch(idx=0),"{""batch_size"":5.0,""max_dist_size"":52.0,""threshold_ratio"":0.209210564,""new_dist_buffer_size"":23.0}",,0.018
iceland_tourism,MicroWatch(idx=1),"{""threshold_ratio"":3.793166529,""max_dist_size"":25.0,""batch_size"":5.0,""new_dist_buffer_size"":18.0}",135;170,0.014
iceland_tourism,MicroWatch(idx=2),"{""threshold_ratio"":3.658406186,""max_dist_size"":92.0,""new_dist_buffer_size"":37.0,""batch_size"":5.0}",160,0.022
iceland_tourism,MicroWatch(idx=3),"{""threshold_ratio"":3.498780655,""max_dist_size"":95.0,""batch_size"":3.0,""new_dist_buffer_size"":33.0}",174,0.036
iceland_tourism,MicroWatch(idx=4),"{""max_dist_size"":81.0,""batch_size"":3.0,""threshold_ratio"":2.641971007,""new_dist_buffer_size"":13.0}",138;162,0.058
iceland_tourism,MicroWatch(idx=5),"{""new_dist_buffer_size"":24.0,""batch_size"":3.0,""threshold_ratio"":3.865322614,""max_dist_size"":76.0}",150,0.046
iceland_tourism,MicroWatch(idx=6),"{""max_dist_size"":99.0,""batch_size"":5.0,""threshold_ratio"":1.569453357,""new_dist_buffer_size"":11.0}",125;160;185,0.027
iceland_tourism,BOCPD,"alpha=0.001, beta=0.001, kappa=0.5, mu=0",,1.853
iceland_tourism,CUSUM,"twarmup=170, plimit=0.0014262970885022819",66;127;165,0.004
iceland_tourism,PELT,"penalty=100, jump=1, min_size=1",199,3.463
construction,MicroWatch(idx=0),"{""new_dist_buffer_size"":50.0,""max_dist_size"":95.0,""batch_size"":3.0,""threshold_ratio"":1.015073093}",,0.037
construction,MicroWatch(idx=1),"{""max_dist_size"":94.0,""batch_size"":3.0,""new_dist_buffer_size"":22.0,""threshold_ratio"":1.533464784}",138;192;216,0.078
construction,MicroWatch(idx=2),"{""threshold_ratio"":2.455072035,""max_dist_size"":68.0,""batch_size"":3.0,""new_dist_buffer_size"":9.0}",138,0.042
construction,MicroWatch(idx=3),"{""threshold_ratio"":1.496698675,""new_dist_buffer_size"":24.0,""batch_size"":4.0,""max_dist_size"":96.0}",136;192;216,0.054
construction,MicroWatch(idx=4),"{""batch_size"":3.0,""threshold_ratio"":2.287514894,""new_dist_buffer_size"":9.0,""max_dist_size"":82.0}",138;192;201;216,0.111
construction,MicroWatch(idx=5),"{""max_dist_size"":58.0,""new_dist_buffer_size"":33.0,""batch_size"":3.0,""threshold_ratio"":3.98118336}",138,0.041
construction,MicroWatch(idx=6),"{""threshold_ratio"":1.142752364,""batch_size"":6.0,""new_dist_buffer_size"":7.0,""max_dist_size"":59.0}",18;42;54;66;78;126;138;150;168;180;192;204;216;234;246;258;270;282,0.033
construction,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",186,4.058
construction,CUSUM,"twarmup=192, plimit=0.11300151685656862",44;87;139;194;248;286,0.005
construction,PELT,"penalty=100, jump=1, min_size=1",319,8.881
quality_control_3,MicroWatch(idx=0),"{""threshold_ratio"":1.144203297,""max_dist_size"":81.0,""new_dist_buffer_size"":19.0,""batch_size"":4.0}",,0.028
quality_control_3,MicroWatch(idx=1),"{""threshold_ratio"":3.923311963,""max_dist_size"":70.0,""batch_size"":5.0,""new_dist_buffer_size"":42.0}",180,0.027
quality_control_3,MicroWatch(idx=2),"{""max_dist_size"":92.0,""new_dist_buffer_size"":42.0,""threshold_ratio"":2.838284952,""batch_size"":3.0}",,0.031
quality_control_3,MicroWatch(idx=3),"{""threshold_ratio"":3.840260141,""max_dist_size"":14.0,""batch_size"":5.0,""new_dist_buffer_size"":12.0}",45,0.013
quality_control_3,MicroWatch(idx=4),"{""batch_size"":6.0,""new_dist_buffer_size"":28.0,""threshold_ratio"":0.337627206,""max_dist_size"":86.0}",42;78;108;138;174;204;234;264;294;324;354,0.034
quality_control_3,MicroWatch(idx=5),"{""new_dist_buffer_size"":22.0,""max_dist_size"":27.0,""batch_size"":5.0,""threshold_ratio"":1.924426165}",180,0.019
quality_control_3,MicroWatch(idx=6),"{""batch_size"":5.0,""max_dist_size"":11.0,""threshold_ratio"":1.87217908,""new_dist_buffer_size"":23.0}",180;235,0.014
quality_control_3,BOCPD,"alpha=10, beta=0.1, kappa=0.1, mu=5",176,4.873
quality_control_3,CUSUM,"twarmup=163, plimit=0.23880586663413858",197,0.014
quality_control_3,PELT,"penalty=4, jump=1, min_size=1",179;366,11.277
occupancy,MicroWatch(idx=0),"{""batch_size"":3.0,""threshold_ratio"":1.016785537,""new_dist_buffer_size"":45.0,""max_dist_size"":56.0}",,0.035
occupancy,MicroWatch(idx=1),"{""max_dist_size"":13.0,""batch_size"":6.0,""new_dist_buffer_size"":14.0,""threshold_ratio"":1.656564064}",30;54;96;144;186;234;270;324;342;360;420;438;456,0.046
occupancy,MicroWatch(idx=2),"{""threshold_ratio"":0.925715672,""max_dist_size"":72.0,""new_dist_buffer_size"":47.0,""batch_size"":3.0}",51;99;147;195;243;417;465,0.051
occupancy,MicroWatch(idx=3),"{""new_dist_buffer_size"":39.0,""threshold_ratio"":0.930468737,""batch_size"":3.0,""max_dist_size"":79.0}",51;90;141;180;240;279;324;363;414;459;504,0.086
occupancy,MicroWatch(idx=4),"{""max_dist_size"":51.0,""batch_size"":3.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":1.458138}",51;93;141;183;234;417,0.111
occupancy,MicroWatch(idx=5),"{""threshold_ratio"":0.171617444,""max_dist_size"":59.0,""new_dist_buffer_size"":29.0,""batch_size"":4.0}",52;84;140;172;240;340;416;448,0.152
occupancy,MicroWatch(idx=6),"{""new_dist_buffer_size"":22.0,""threshold_ratio"":1.220855472,""batch_size"":4.0,""max_dist_size"":44.0}",52;92;140;184;236;260;336;416;464;504,0.076
occupancy,PELT,"penalty=5, jump=9, min_size=1",12;58;92;104;149;185;241;264;288;341;353;419;456;509,25.466
businv,MicroWatch(idx=0),"{""batch_size"":4.0,""new_dist_buffer_size"":6.0,""threshold_ratio"":0.754350032,""max_dist_size"":92.0}",,0.031
businv,MicroWatch(idx=1),"{""threshold_ratio"":2.464046487,""batch_size"":4.0,""new_dist_buffer_size"":15.0,""max_dist_size"":50.0}",96;120;192;208;224,0.036
businv,MicroWatch(idx=2),"{""batch_size"":4.0,""threshold_ratio"":3.799072007,""new_dist_buffer_size"":30.0,""max_dist_size"":98.0}",248,0.038
businv,MicroWatch(idx=3),"{""threshold_ratio"":3.866389247,""new_dist_buffer_size"":33.0,""batch_size"":3.0,""max_dist_size"":89.0}",249,0.049
businv,MicroWatch(idx=4),"{""max_dist_size"":66.0,""threshold_ratio"":3.879569139,""new_dist_buffer_size"":18.0,""batch_size"":4.0}",100;188;208,0.061
businv,MicroWatch(idx=5),"{""new_dist_buffer_size"":34.0,""threshold_ratio"":3.073015156,""batch_size"":3.0,""max_dist_size"":100.0}",189,0.092
businv,MicroWatch(idx=6),"{""batch_size"":3.0,""threshold_ratio"":1.16976017,""max_dist_size"":45.0,""new_dist_buffer_size"":21.0}",21;45;69;93;120;141;165;189;210;231;261;285;306,0.029
businv,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,4.763
businv,CUSUM,"twarmup=208, plimit=0.7374587220159847",35;73;110;152;190;242;281;318,0.004
businv,PELT,"penalty=100, jump=1, min_size=1",330,10.544
apple,MicroWatch(idx=0),"{""max_dist_size"":27.0,""batch_size"":4.0,""threshold_ratio"":0.125298284,""new_dist_buffer_size"":4.0}",,0.024
apple,MicroWatch(idx=1),"{""threshold_ratio"":3.284828172,""batch_size"":5.0,""new_dist_buffer_size"":20.0,""max_dist_size"":17.0}",130;200;230;275;320,0.022
apple,MicroWatch(idx=2),"{""new_dist_buffer_size"":38.0,""threshold_ratio"":3.139910919,""max_dist_size"":21.0,""batch_size"":3.0}",54,0.020
apple,MicroWatch(idx=3),"{""max_dist_size"":51.0,""batch_size"":6.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":3.86760245}",,0.019
apple,MicroWatch(idx=4),"{""batch_size"":3.0,""new_dist_buffer_size"":37.0,""threshold_ratio"":0.525455704,""max_dist_size"":71.0}",48;318,0.103
apple,MicroWatch(idx=5),"{""threshold_ratio"":0.732082852,""max_dist_size"":86.0,""batch_size"":6.0,""new_dist_buffer_size"":30.0}",48;318,0.072
apple,MicroWatch(idx=6),"{""new_dist_buffer_size"":20.0,""batch_size"":3.0,""threshold_ratio"":1.105742671,""max_dist_size"":53.0}",24;54;318,0.041
apple,PELT,"penalty=5, jump=6, min_size=1",101;131;199;223;244;265;286;319;417;462;546;605;622,36.711
seatbelts,MicroWatch(idx=0),"{""batch_size"":5.0,""threshold_ratio"":0.999174189,""max_dist_size"":38.0,""new_dist_buffer_size"":48.0}",,0.011
seatbelts,MicroWatch(idx=1),"{""new_dist_buffer_size"":43.0,""threshold_ratio"":0.878249372,""max_dist_size"":56.0,""batch_size"":3.0}",60;171,0.021
seatbelts,MicroWatch(idx=2),"{""threshold_ratio"":1.981385895,""batch_size"":5.0,""new_dist_buffer_size"":16.0,""max_dist_size"":76.0}",,0.018
seatbelts,MicroWatch(idx=3),"{""new_dist_buffer_size"":14.0,""threshold_ratio"":1.874862016,""max_dist_size"":14.0,""batch_size"":5.0}",45;60;170,0.010
seatbelts,MicroWatch(idx=4),"{""max_dist_size"":55.0,""threshold_ratio"":0.712187895,""batch_size"":6.0,""new_dist_buffer_size"":49.0}",60;168,0.017
seatbelts,MicroWatch(idx=5),"{""threshold_ratio"":0.540306661,""batch_size"":4.0,""max_dist_size"":22.0,""new_dist_buffer_size"":50.0}",56;116,0.013
seatbelts,MicroWatch(idx=6),"{""threshold_ratio"":0.983631215,""new_dist_buffer_size"":45.0,""batch_size"":4.0,""max_dist_size"":83.0}",168,0.017
seatbelts,BOCPD,"alpha=0.1, beta=0.001, kappa=0.1, mu=200",164,1.771
seatbelts,CUSUM,"twarmup=196, plimit=0.5051431329426558",52;136;176,0.004
seatbelts,PELT,"penalty=5, jump=5, min_size=1",72;169;192,2.890
global_co2,MicroWatch(idx=0),"{""batch_size"":5.0,""threshold_ratio"":2.684057905,""new_dist_buffer_size"":43.0,""max_dist_size"":77.0}",,0.013
global_co2,MicroWatch(idx=1),"{""max_dist_size"":78.0,""batch_size"":5.0,""threshold_ratio"":2.926155975,""new_dist_buffer_size"":48.0}",95,0.013
global_co2,MicroWatch(idx=2),"{""batch_size"":5.0,""threshold_ratio"":3.430039325,""new_dist_buffer_size"":48.0,""max_dist_size"":88.0}",,0.012
global_co2,MicroWatch(idx=3),"{""threshold_ratio"":3.999326564,""batch_size"":5.0,""max_dist_size"":73.0,""new_dist_buffer_size"":39.0}",95,0.012
global_co2,MicroWatch(idx=4),"{""max_dist_size"":93.0,""batch_size"":5.0,""threshold_ratio"":2.822924395,""new_dist_buffer_size"":47.0}",95,0.026
global_co2,MicroWatch(idx=5),"{""threshold_ratio"":3.563115209,""new_dist_buffer_size"":21.0,""batch_size"":5.0,""max_dist_size"":78.0}",95,0.018
global_co2,MicroWatch(idx=6),"{""threshold_ratio"":3.323671819,""max_dist_size"":26.0,""batch_size"":5.0,""new_dist_buffer_size"":48.0}",65,0.006
global_co2,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.507
global_co2,CUSUM,"twarmup=47, plimit=0.09000398187665967",46;81,0.002
global_co2,PELT,"penalty=30, jump=1, min_size=1",104,0.760
bank,MicroWatch(idx=0),"{""max_dist_size"":35.0,""batch_size"":5.0,""new_dist_buffer_size"":8.0,""threshold_ratio"":0.307721167}",,0.024
bank,MicroWatch(idx=1),"{""batch_size"":3.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":2.39160933,""max_dist_size"":35.0}",,0.025
bank,MicroWatch(idx=2),"{""batch_size"":6.0,""threshold_ratio"":2.720781393,""new_dist_buffer_size"":30.0,""max_dist_size"":50.0}",,0.021
bank,MicroWatch(idx=3),"{""max_dist_size"":21.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":2.777395497,""batch_size"":5.0}",,0.020
bank,MicroWatch(idx=4),"{""threshold_ratio"":3.162353655,""batch_size"":3.0,""new_dist_buffer_size"":46.0,""max_dist_size"":50.0}",,0.030
bank,MicroWatch(idx=5),"{""new_dist_buffer_size"":40.0,""max_dist_size"":84.0,""threshold_ratio"":2.154273858,""batch_size"":4.0}",,0.040
bank,MicroWatch(idx=6),"{""threshold_ratio"":2.397339882,""max_dist_size"":94.0,""new_dist_buffer_size"":24.0,""batch_size"":5.0}",,0.031
bank,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,13.417
bank,CUSUM,"twarmup=298, plimit=0.05299083062286661",68;116;246;292;392;435;531,0.013
bank,PELT,"penalty=20, jump=1, min_size=1",581,28.692
gdp_argentina,MicroWatch(idx=0),"{""new_dist_buffer_size"":49.0,""max_dist_size"":29.0,""threshold_ratio"":1.383563304,""batch_size"":6.0}",,0.007
gdp_argentina,MicroWatch(idx=1),"{""new_dist_buffer_size"":39.0,""max_dist_size"":47.0,""batch_size"":6.0,""threshold_ratio"":2.528171061}",54,0.006
gdp_argentina,MicroWatch(idx=2),"{""max_dist_size"":11.0,""new_dist_buffer_size"":50.0,""batch_size"":6.0,""threshold_ratio"":0.421631137}",54,0.004
gdp_argentina,MicroWatch(idx=3),"{""batch_size"":4.0,""threshold_ratio"":3.212672125,""max_dist_size"":36.0,""new_dist_buffer_size"":24.0}",,0.005
gdp_argentina,MicroWatch(idx=4),"{""new_dist_buffer_size"":50.0,""threshold_ratio"":0.101362542,""batch_size"":6.0,""max_dist_size"":66.0}",54,0.005
gdp_argentina,MicroWatch(idx=5),"{""new_dist_buffer_size"":37.0,""batch_size"":4.0,""max_dist_size"":29.0,""threshold_ratio"":2.635986227}",52,0.005
gdp_argentina,MicroWatch(idx=6),"{""new_dist_buffer_size"":49.0,""max_dist_size"":53.0,""threshold_ratio"":0.437254121,""batch_size"":6.0}",54,0.004
gdp_argentina,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.143
gdp_argentina,CUSUM,"twarmup=26, plimit=0.42256978071605383",37,0.001
gdp_argentina,PELT,"penalty=6, jump=7, min_size=1",33;47;59,0.307
scanline_126007,MicroWatch(idx=0),"{""threshold_ratio"":0.977110113,""batch_size"":3.0,""max_dist_size"":32.0,""new_dist_buffer_size"":46.0}",,0.023
scanline_126007,MicroWatch(idx=1),"{""max_dist_size"":55.0,""new_dist_buffer_size"":47.0,""batch_size"":5.0,""threshold_ratio"":1.557976055}",180;255,0.025
scanline_126007,MicroWatch(idx=2),"{""new_dist_buffer_size"":10.0,""batch_size"":6.0,""threshold_ratio"":3.57350436,""max_dist_size"":54.0}",,0.020
scanline_126007,MicroWatch(idx=3),"{""threshold_ratio"":2.818609088,""new_dist_buffer_size"":10.0,""batch_size"":4.0,""max_dist_size"":48.0}",,0.023
scanline_126007,MicroWatch(idx=4),"{""new_dist_buffer_size"":11.0,""threshold_ratio"":2.028758647,""max_dist_size"":78.0,""batch_size"":6.0}",108;120;162;174;252;264;288;306;318,0.087
scanline_126007,MicroWatch(idx=5),"{""new_dist_buffer_size"":11.0,""batch_size"":4.0,""threshold_ratio"":3.082583756,""max_dist_size"":74.0}",292,0.057
scanline_126007,MicroWatch(idx=6),"{""threshold_ratio"":1.255096468,""max_dist_size"":13.0,""new_dist_buffer_size"":12.0,""batch_size"":6.0}",42;54;78;102;126;138;150;162;174;252;264;288;306;318;330;342;354;366;378;390,0.032
scanline_126007,BOCPD,"alpha=10, beta=10, kappa=0.5, mu=100",247,9.235
scanline_126007,CUSUM,"twarmup=279, plimit=0.8565453717188082",48;89;143;201;257;295;336;377;417;470,0.007
scanline_126007,PELT,"penalty=6, jump=1, min_size=1",163;251;265;280;292;307;376;403;481,20.217
ozone,MicroWatch(idx=0),"{""batch_size"":4.0,""threshold_ratio"":3.732766093,""max_dist_size"":12.0,""new_dist_buffer_size"":27.0}",,0.006
ozone,MicroWatch(idx=1),"{""threshold_ratio"":0.370735106,""max_dist_size"":96.0,""batch_size"":4.0,""new_dist_buffer_size"":26.0}",28,0.005
ozone,MicroWatch(idx=2),"{""threshold_ratio"":0.103845245,""new_dist_buffer_size"":25.0,""batch_size"":4.0,""max_dist_size"":16.0}",28,0.004
ozone,MicroWatch(idx=3),"{""batch_size"":4.0,""max_dist_size"":66.0,""new_dist_buffer_size"":25.0,""threshold_ratio"":0.596939605}",28,0.003
ozone,MicroWatch(idx=4),"{""threshold_ratio"":0.255549556,""max_dist_size"":71.0,""batch_size"":4.0,""new_dist_buffer_size"":27.0}",28,0.004
ozone,MicroWatch(idx=5),"{""new_dist_buffer_size"":25.0,""max_dist_size"":70.0,""threshold_ratio"":0.686264876,""batch_size"":4.0}",28,0.004
ozone,MicroWatch(idx=6),"{""max_dist_size"":57.0,""new_dist_buffer_size"":25.0,""batch_size"":4.0,""threshold_ratio"":0.103902241}",28,0.003
ozone,BOCPD,"alpha=0.1, beta=10, kappa=0.1, mu=0",29,0.104
ozone,CUSUM,"twarmup=219, plimit=0.6980735635352994",49,0.001
ozone,PELT,"penalty=0.0000000001, jump=8, min_size=9",9;18;27;36;45;54,0.067
run_log,MicroWatch(idx=0),"{""max_dist_size"":19.0,""threshold_ratio"":3.580857085,""new_dist_buffer_size"":50.0,""batch_size"":4.0}",,0.013
run_log,MicroWatch(idx=1),"{""new_dist_buffer_size"":13.0,""max_dist_size"":36.0,""batch_size"":6.0,""threshold_ratio"":3.194567721}",60;96;114;174;204;240;258;318;336,0.032
run_log,MicroWatch(idx=2),"{""batch_size"":4.0,""threshold_ratio"":0.822113408,""max_dist_size"":24.0,""new_dist_buffer_size"":13.0}",16;32;48;64;80;96;112;128;144;160;176;192;208;224;240;256;272;288;304;320;336;352;368,0.023
run_log,MicroWatch(idx=3),"{""threshold_ratio"":1.35199548,""max_dist_size"":48.0,""batch_size"":4.0,""new_dist_buffer_size"":32.0}",88;140;208;268;320,0.038
run_log,MicroWatch(idx=4),"{""new_dist_buffer_size"":35.0,""batch_size"":3.0,""threshold_ratio"":0.748086887,""max_dist_size"":46.0}",63;99;135;171;207;243;279;315;366,0.045
run_log,MicroWatch(idx=5),"{""threshold_ratio"":1.272772745,""max_dist_size"":49.0,""batch_size"":3.0,""new_dist_buffer_size"":29.0}",30;63;93;123;180;210;264;318,0.142
run_log,MicroWatch(idx=6),"{""max_dist_size"":47.0,""batch_size"":4.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":1.105168395}",16;32;48;64;80;96;112;128;144;160;176;192;208;224;240;256;272;288;304;320;336;352;368,0.024
run_log,PELT,"penalty=1, jump=9, min_size=1",9;60;70;79;96;105;114;123;167;177;204;240;258;276;307;317;376,14.463
gdp_iran,MicroWatch(idx=0),"{""threshold_ratio"":3.841691761,""new_dist_buffer_size"":16.0,""batch_size"":3.0,""max_dist_size"":79.0}",,0.017
gdp_iran,MicroWatch(idx=1),"{""max_dist_size"":72.0,""new_dist_buffer_size"":12.0,""batch_size"":4.0,""threshold_ratio"":2.506969039}",12,0.010
gdp_iran,MicroWatch(idx=2),"{""batch_size"":3.0,""max_dist_size"":65.0,""new_dist_buffer_size"":11.0,""threshold_ratio"":0.711837867}",12;24;36;48,0.005
gdp_iran,MicroWatch(idx=3),"{""threshold_ratio"":2.652584452,""new_dist_buffer_size"":10.0,""max_dist_size"":88.0,""batch_size"":6.0}",12,0.007
gdp_iran,MicroWatch(idx=4),"{""max_dist_size"":70.0,""threshold_ratio"":3.990815549,""new_dist_buffer_size"":10.0,""batch_size"":4.0}",12,0.013
gdp_iran,MicroWatch(idx=5),"{""threshold_ratio"":3.799172549,""batch_size"":6.0,""new_dist_buffer_size"":8.0,""max_dist_size"":56.0}",12,0.008
gdp_iran,MicroWatch(idx=6),"{""max_dist_size"":33.0,""batch_size"":6.0,""new_dist_buffer_size"":12.0,""threshold_ratio"":1.038922356}",12;24;36;48,0.004
gdp_iran,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.127
gdp_iran,CUSUM,"twarmup=11, plimit=0.5941666227501861",44,0.001
gdp_iran,PELT,"penalty=1, jump=4, min_size=5",10;20;30;40;45;58,0.093
us_population,MicroWatch(idx=0),"{""max_dist_size"":93.0,""new_dist_buffer_size"":43.0,""threshold_ratio"":0.161443766,""batch_size"":4.0}",,0.105
us_population,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":43.0,""threshold_ratio"":3.994571629,""max_dist_size"":91.0}",245;465;710,0.246
us_population,MicroWatch(idx=2),"{""threshold_ratio"":3.99274097,""max_dist_size"":99.0,""batch_size"":4.0,""new_dist_buffer_size"":44.0}",276;500;776,0.064
us_population,MicroWatch(idx=3),"{""new_dist_buffer_size"":10.0,""batch_size"":5.0,""threshold_ratio"":3.830121693,""max_dist_size"":92.0}",255;480;740,0.079
us_population,MicroWatch(idx=4),"{""batch_size"":3.0,""threshold_ratio"":3.997566626,""max_dist_size"":100.0,""new_dist_buffer_size"":17.0}",156;312;465;627;798,0.266
us_population,MicroWatch(idx=5),"{""new_dist_buffer_size"":31.0,""batch_size"":5.0,""max_dist_size"":91.0,""threshold_ratio"":3.964920021}",235;450;680,0.087
us_population,MicroWatch(idx=6),"{""new_dist_buffer_size"":17.0,""batch_size"":6.0,""threshold_ratio"":1.164734686,""max_dist_size"":58.0}",18;36;54;72;90;108;126;144;162;180;198;216;234;252;270;288;306;324;342;360;378;396;414;432;450;468;486;504;522;540;558;576;594;612;630;648;666;684;702;720;738;756;774;792;810,0.046
us_population,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,25.155
us_population,CUSUM,"twarmup=81, plimit=0.7525625716673816",37;75;113;151;189;226;264;302;339;377;415;453;491;529;567;605;643;681;719;757;795,0.007
us_population,PELT,"penalty=300, jump=1, min_size=1",816,63.467
lga_passengers,MicroWatch(idx=0),"{""threshold_ratio"":1.671622601,""max_dist_size"":31.0,""batch_size"":3.0,""new_dist_buffer_size"":42.0}",,0.021
lga_passengers,MicroWatch(idx=1),"{""threshold_ratio"":2.252130654,""max_dist_size"":94.0,""new_dist_buffer_size"":4.0,""batch_size"":3.0}",15;123;129;168;294,0.114
lga_passengers,MicroWatch(idx=2),"{""new_dist_buffer_size"":4.0,""threshold_ratio"":2.718915871,""batch_size"":4.0,""max_dist_size"":50.0}",280;296,0.032
lga_passengers,MicroWatch(idx=3),"{""max_dist_size"":88.0,""new_dist_buffer_size"":6.0,""threshold_ratio"":1.81270736,""batch_size"":3.0}",339;348;384,0.092
lga_passengers,MicroWatch(idx=4),"{""batch_size"":4.0,""threshold_ratio"":2.971644565,""new_dist_buffer_size"":3.0,""max_dist_size"":55.0}",124;132;168;272;296,0.143
