dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
construction,MicroWatch(idx=0),69.57,100.0,53.33,57.46,0,6
construction,PELT,69.57,100.0,53.33,57.46,0,6
construction,CUSUM,57.35,42.86,86.67,32.17,6,6
construction,BOCPD,51.61,50.0,53.33,80.32,1,6
construction,MicroWatch(idx=6),41.67,26.32,100.0,26.21,18,6
debt_ireland,MicroWatch(idx=1),95.83,100.0,92.0,83.23,2,12
debt_ireland,MicroWatch(idx=2),95.83,100.0,92.0,83.23,2,12
debt_ireland,MicroWatch(idx=3),95.83,100.0,92.0,83.23,2,12
debt_ireland,MicroWatch(idx=4),95.83,100.0,92.0,83.23,2,12
debt_ireland,MicroWatch(idx=6),95.83,100.0,92.0,83.23,2,12
debt_ireland,BOCPD,85.5,100.0,74.67,51.42,2,12
debt_ireland,MicroWatch(idx=5),76.03,100.0,61.33,63.46,1,12
debt_ireland,MicroWatch(idx=0),46.94,100.0,30.67,32.06,0,12
debt_ireland,CUSUM,46.94,100.0,30.67,32.06,0,12
debt_ireland,PELT,46.94,100.0,30.67,32.06,0,12
gdp_argentina,PELT,94.74,100.0,90.0,63.49,2,6
gdp_argentina,MicroWatch(idx=1),88.89,100.0,80.0,72.03,1,6
gdp_argentina,MicroWatch(idx=2),88.89,100.0,80.0,72.03,1,6
gdp_argentina,MicroWatch(idx=4),88.89,100.0,80.0,72.03,1,6
gdp_argentina,MicroWatch(idx=5),88.89,100.0,80.0,71.88,1,6
gdp_argentina,MicroWatch(idx=6),88.89,100.0,80.0,72.03,1,6
gdp_argentina,CUSUM,88.89,100.0,80.0,60.11,1,6
gdp_argentina,MicroWatch(idx=0),82.35,100.0,70.0,73.71,0,6
gdp_argentina,MicroWatch(idx=3),82.35,100.0,70.0,73.71,0,6
gdp_argentina,BOCPD,82.35,100.0,70.0,73.71,0,6
gdp_croatia,MicroWatch(idx=1),100.0,100.0,100.0,80.17,1,3
gdp_croatia,MicroWatch(idx=2),100.0,100.0,100.0,80.17,1,3
gdp_croatia,MicroWatch(idx=3),100.0,100.0,100.0,80.17,1,3
gdp_croatia,MicroWatch(idx=4),100.0,100.0,100.0,80.17,1,3
gdp_croatia,MicroWatch(idx=5),100.0,100.0,100.0,80.17,1,3
gdp_croatia,MicroWatch(idx=6),100.0,100.0,100.0,80.17,1,3
gdp_croatia,MicroWatch(idx=0),82.35,100.0,70.0,70.83,0,3
gdp_croatia,BOCPD,82.35,100.0,70.0,70.83,0,3
gdp_croatia,CUSUM,82.35,100.0,70.0,70.83,0,3
gdp_croatia,PELT,82.35,100.0,70.0,70.83,0,3
gdp_iran,MicroWatch(idx=2),88.89,80.0,100.0,41.26,4,8
gdp_iran,MicroWatch(idx=6),88.89,80.0,100.0,41.26,4,8
gdp_iran,MicroWatch(idx=1),86.79,100.0,76.67,72.97,1,8
gdp_iran,MicroWatch(idx=3),86.79,100.0,76.67,72.97,1,8
gdp_iran,MicroWatch(idx=4),86.79,100.0,76.67,72.97,1,8
gdp_iran,MicroWatch(idx=5),86.79,100.0,76.67,72.97,1,8
gdp_iran,MicroWatch(idx=0),65.17,100.0,48.33,58.26,0,8
gdp_iran,BOCPD,65.17,100.0,48.33,58.26,0,8
gdp_iran,PELT,65.17,100.0,48.33,58.26,0,8
gdp_iran,CUSUM,49.15,50.0,48.33,46.65,1,8
gdp_japan,MicroWatch(idx=1),100.0,100.0,100.0,73.1,1,2
gdp_japan,MicroWatch(idx=2),100.0,100.0,100.0,65.89,1,2
gdp_japan,MicroWatch(idx=3),100.0,100.0,100.0,73.1,1,2
gdp_japan,MicroWatch(idx=4),100.0,100.0,100.0,73.1,1,2
