dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
us_population,MicroWatch(idx=0),88.89,100.0,80.0,80.34,0,2
us_population,BOCPD,88.89,100.0,80.0,80.34,0,2
us_population,PELT,88.89,100.0,80.0,80.34,0,2
us_population,MicroWatch(idx=1),66.67,50.0,100.0,42.03,3,2
us_population,MicroWatch(idx=4),50.0,33.33,100.0,28.6,5,2
us_population,MicroWatch(idx=2),38.1,25.0,80.0,47.35,3,2
us_population,MicroWatch(idx=3),38.1,25.0,80.0,44.36,3,2
us_population,MicroWatch(idx=5),38.1,25.0,80.0,39.21,3,2
us_population,CUSUM,8.6,4.55,80.0,6.52,21,2
us_population,MicroWatch(idx=6),4.23,2.17,80.0,3.09,45,2
usd_isk,MicroWatch(idx=0),84.84,100.0,73.67,84.07,2,12
usd_isk,MicroWatch(idx=1),84.84,100.0,73.67,83.64,2,12
usd_isk,MicroWatch(idx=3),84.84,100.0,73.67,83.64,2,12
usd_isk,MicroWatch(idx=4),84.84,100.0,73.67,83.64,2,12
usd_isk,MicroWatch(idx=6),84.84,100.0,73.67,83.64,2,12
usd_isk,PELT,78.54,100.0,64.67,85.77,1,12
usd_isk,CUSUM,66.13,60.0,73.67,63.86,4,12
usd_isk,MicroWatch(idx=2),54.2,66.67,45.67,74.22,2,12
usd_isk,BOCPD,48.87,100.0,32.33,43.63,0,12
usd_isk,MicroWatch(idx=5),39.27,50.0,32.33,60.77,1,12
well_log,MicroWatch(idx=1),93.05,93.33,92.78,82.44,14,48
well_log,MicroWatch(idx=4),77.51,76.92,78.11,73.96,12,48
well_log,MicroWatch(idx=5),64.15,100.0,47.22,70.86,4,48
well_log,MicroWatch(idx=2),49.1,42.11,58.89,48.16,18,48
well_log,MicroWatch(idx=3),45.76,100.0,29.67,47.43,2,48
well_log,BOCPD,42.38,100.0,26.89,46.46,1,48
well_log,MicroWatch(idx=6),39.7,60.0,29.67,63.64,4,48
well_log,MicroWatch(idx=0),23.7,100.0,13.44,22.46,0,48
well_log,PELT,23.7,100.0,13.44,22.46,0,48
well_log,CUSUM,19.16,33.33,13.44,63.66,2,48
