Dataset,Algorithm,Windows (ms),Ubuntu (ms),Raspberry Pi (ms)
debt_ireland,MicroWatch(idx=3),0.002,0.002,0.014
debt_ireland,MicroWatch(idx=4),0.002,0.003,0.018
debt_ireland,MicroWatch(idx=5),0.003,0.004,0.019
debt_ireland,MicroWatch(idx=6),0.03,0.002,0.013
debt_ireland,PELT,0.018,0.019,0.094
gdp_argentina,BOCPD,0.117,0.143,1.107
gdp_argentina,CUSUM,0.001,0.001,0.005
gdp_argentina,MicroWatch(idx=0),0.006,0.007,0.026
gdp_argentina,MicroWatch(idx=1),0.006,0.006,0.026
gdp_argentina,MicroWatch(idx=2),0.004,0.004,0.023
gdp_argentina,MicroWatch(idx=3),0.004,0.005,0.031
gdp_argentina,MicroWatch(idx=4),0.005,0.005,0.03
gdp_argentina,MicroWatch(idx=5),0.004,0.005,0.025
gdp_argentina,MicroWatch(idx=6),0.004,0.004,0.022
gdp_argentina,PELT,0.214,0.307,1.117
gdp_croatia,BOCPD,0.022,0.023,0.196
gdp_croatia,CUSUM,0.001,0.001,0.003
gdp_croatia,MicroWatch(idx=0),0.004,0.005,0.017
gdp_croatia,MicroWatch(idx=1),0.005,0.003,0.013
gdp_croatia,MicroWatch(idx=2),0.005,0.002,0.012
gdp_croatia,MicroWatch(idx=3),0.003,0.002,0.013
gdp_croatia,MicroWatch(idx=4),0.003,0.002,0.014
gdp_croatia,MicroWatch(idx=5),0.002,0.002,0.013
gdp_croatia,MicroWatch(idx=6),0.002,0.002,0.012
gdp_croatia,PELT,0.02,0.019,0.088
gdp_iran,BOCPD,0.118,0.127,1.077
gdp_iran,CUSUM,0.001,0.001,0.007
gdp_iran,MicroWatch(idx=0),0.014,0.017,0.103
gdp_iran,MicroWatch(idx=1),0.009,0.01,0.045
gdp_iran,MicroWatch(idx=2),0.005,0.005,0.026
gdp_iran,MicroWatch(idx=3),0.007,0.007,0.043
gdp_iran,MicroWatch(idx=4),0.012,0.013,0.075
gdp_iran,MicroWatch(idx=5),0.008,0.008,0.047
gdp_iran,MicroWatch(idx=6),0.004,0.004,0.024
gdp_iran,PELT,0.091,0.093,0.439
gdp_japan,BOCPD,0.117,0.246,1.098
gdp_japan,CUSUM,0.001,0.002,0.006
gdp_japan,MicroWatch(idx=0),0.005,0.036,0.027
gdp_japan,MicroWatch(idx=1),0.004,0.008,0.024
gdp_japan,MicroWatch(idx=2),0.004,0.007,0.023
gdp_japan,MicroWatch(idx=3),0.003,0.006,0.022
gdp_japan,MicroWatch(idx=4),0.004,0.008,0.027
gdp_japan,MicroWatch(idx=5),0.004,0.008,0.026
gdp_japan,MicroWatch(idx=6),0.003,0.006,0.02
gdp_japan,PELT,0.241,0.525,1.365
global_co2,BOCPD,0.365,0.507,3.401
global_co2,CUSUM,0.002,0.002,0.01
global_co2,MicroWatch(idx=0),0.012,0.013,0.089
global_co2,MicroWatch(idx=1),0.012,0.013,0.067
global_co2,MicroWatch(idx=2),0.011,0.012,0.074
global_co2,MicroWatch(idx=3),0.011,0.012,0.082
global_co2,MicroWatch(idx=4),0.02,0.026,0.145
global_co2,MicroWatch(idx=5),0.016,0.018,0.11
global_co2,MicroWatch(idx=6),0.008,0.006,0.054
global_co2,PELT,0.731,0.76,4.232
