dataset,method,parameters,change_points,time_ms
gdp_iran,MicroWatch(idx=1),"{""batch_size"":4.0,""max_dist_size"":72.0,""threshold_ratio"":2.506969039,""new_dist_buffer_size"":12.0}",12,0.045
gdp_iran,MicroWatch(idx=2),"{""batch_size"":3.0,""max_dist_size"":65.0,""threshold_ratio"":0.711837867,""new_dist_buffer_size"":11.0}",12;24;36;48,0.026
gdp_iran,MicroWatch(idx=3),"{""batch_size"":6.0,""new_dist_buffer_size"":10.0,""threshold_ratio"":2.652584452,""max_dist_size"":88.0}",12,0.043
gdp_iran,MicroWatch(idx=4),"{""threshold_ratio"":3.990815549,""batch_size"":4.0,""new_dist_buffer_size"":10.0,""max_dist_size"":70.0}",12,0.075
gdp_iran,MicroWatch(idx=5),"{""threshold_ratio"":3.799172549,""new_dist_buffer_size"":8.0,""max_dist_size"":56.0,""batch_size"":6.0}",12,0.047
gdp_iran,MicroWatch(idx=6),"{""threshold_ratio"":1.038922356,""new_dist_buffer_size"":12.0,""max_dist_size"":33.0,""batch_size"":6.0}",12;24;36;48,0.024
gdp_iran,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,1.077
gdp_iran,CUSUM,"twarmup=11, plimit=0.5941666227501861",44,0.007
gdp_iran,PELT,"penalty=1, jump=4, min_size=5",10;20;30;40;45;58,0.439
brent_spot,MicroWatch(idx=0),"{""threshold_ratio"":1.040997484,""batch_size"":3.0,""new_dist_buffer_size"":31.0,""max_dist_size"":92.0}",,0.284
brent_spot,MicroWatch(idx=1),"{""threshold_ratio"":3.90884706,""batch_size"":5.0,""max_dist_size"":96.0,""new_dist_buffer_size"":7.0}",45;215;225;240;250;280;375,0.416
brent_spot,MicroWatch(idx=2),"{""batch_size"":3.0,""threshold_ratio"":3.92701899,""max_dist_size"":19.0,""new_dist_buffer_size"":10.0}",132;201,0.141
brent_spot,MicroWatch(idx=3),"{""max_dist_size"":26.0,""new_dist_buffer_size"":11.0,""threshold_ratio"":3.63913105,""batch_size"":4.0}",132;200,0.159
